stop_id,stop_name,stop_lat,stop_lon,ligne
CHLI,Cholière,47.25102707,-1.60672562,"[{'numLigne': '116'}, {'numLigne': '179'}, {'numLigne': '50'}]"
CHME,Charmes,47.19080195,-1.46104727,[{'numLigne': '27'}]
CHNI,Charbonnière,47.2636751,-1.64232461,"[{'numLigne': '119'}, {'numLigne': '129'}, {'numLigne': '189'}, {'numLigne': '89'}]"
CHOC,Chocolaterie,47.242706,-1.5279488,"[{'numLigne': '11'}, {'numLigne': 'C1'}, {'numLigne': 'LN'}]"
CHPO,Champonnière,47.16365142,-1.50573699,[{'numLigne': '47'}]
CHRE,Chalâtres,47.23108993,-1.538613,"[{'numLigne': 'C1'}, {'numLigne': 'LN'}]"
CHSS,Chaussée,47.17664867,-1.52106736,[{'numLigne': '97'}]
CHTE,Châtelets,47.19725099,-1.54052347,"[{'numLigne': '162'}, {'numLigne': '27'}, {'numLigne': '28'}, {'numLigne': '36'}, {'numLigne': '38'}, {'numLigne': 'C4'}, {'numLigne': 'C9'}]"
CHVE,Chauvais,47.33733351,-1.57163166,[{'numLigne': 'LCN'}]
CHZY,Chanzy,47.22356385,-1.54547135,"[{'numLigne': 'C1'}, {'numLigne': 'C6'}, {'numLigne': 'LN'}]"
CIFA,CIFAM,47.26672891,-1.48814027,"[{'numLigne': '187'}, {'numLigne': '77'}]"
CIGL,Chai Gallais,47.13687684,-1.72161486,[{'numLigne': '108'}]
CIVL,Circuit du Vallon,47.27365771,-1.447351,[{'numLigne': '135'}]
CJOS,Cimetière de St-Joseph-de-Porterie,47.26813697,-1.52158403,"[{'numLigne': '115'}, {'numLigne': '75'}]"
CLAM,Clos Ami,47.21214757,-1.65554467,"[{'numLigne': '50'}, {'numLigne': '91'}, {'numLigne': 'NBI'}]"
CLBO,Clos Bonnet,47.18917694,-1.56358856,[{'numLigne': '97'}]
CLET,Clétras,47.25552965,-1.51075294,"[{'numLigne': '80'}, {'numLigne': '85'}]"
